,,,,,,,,,,,,,,,,,,,,,,,,,
Name,Exit Target,LP Tag,Entity Type,Stage,Sector Focus,Sectors Avoided,Typical Cheque Size,Min Cheque Size,Max Cheque Size,Fund Contacts,Investments,Website,Location,,,Investor Notes,Interactions (Blume),Introductions (Startups),Lead flag,Impact/ESG flag,Connected?,Conflicts / Common Cos,Status,Priority,Sector Grouping
,,,,,,,,,,,,,,,,,,,,,,,Active,,
<Out of VC/PE>,,,,,,,,,,Mohit Babu,,,,,,,,,,,,,Active,,
3iPartners,,,Venture Capital,Seed,,,,,,Kumar Ganapathy," Planys Technologies, Haqdarshak,ReCircle, CENTA,Tan90, VitusCare, PadCare Labs, Bore Charger,Exposome, D-NOME",,London,,,"Earlier active in private,
not seen on captables
",,,,,,,,Low,
3L Capital,TG 2 ($500M+),,Venture Capital,"""Mid (B,C)"",""Growth (C,D)"",Late Growth (>$500M)","Consumer,Software & Technology",,,,,,Dunzo,https://3l-capital.com/,"NYC,USA (other)",,,"Growth fund invested in Commerce, Enterprise Software and Tech-enabled Services.
Brought by Lightbox because they had invested in similar business in the US - Invested in Dunzo during Reliance Retail led round.",,,,,,?Dunzo,,Low,"Consumer,Software & Technology"
3Lines,,,Venture Capital,"Seed,""Early (A,B)""",,,,,,Krishna Mohan Kunapuli,,,,,,,,,,,,,,,
3one4 Capital,,,Venture Capital,"Seed,""Early (A,B)""","Consumer,Software & Technology,Healthcare & Lifesciences,BFSI & Fintech",,$1-2M,<$500K,$2M,"Pranav Pai,Anurag Ramdasan,Nruthya Madappa,Siddharth Pai,Sonali Goel","Koo,Raise,Yulu",,BLR,,,"Super active, direct competitor
Seed and occasionally A's
Co-invest/lead
",,"19-02-21 | 3one4 Capital?Futwork,19-09-22 | 3one4 Capital?Alippo,19-09-22 | 3one4 Capital?Enumerate,19-09-22 | 3one4 Capital?Money Club (BFF),19-09-22 | 3one4 Capital?Zapscale",checked,,checked,"?Koo, ?Raise, ?Yulu",,High,Diversified
8i Ventures,,,Family Office,"Seed,""Early (A,B)""",,,,,,,Slice,,,,,"Vikram Chachra family office (Slice)
$50-75 M Fund",,,,,,?Slice,,,
8VC,,,Venture Capital,"Seed,""Early (A,B)""",,,,,,"Bhaskar Ghosh,Arthur James,Vivek Gopalan,Bhaskar Ghosh ,Vivek Gopalan ,Arthur James ","Branch, Rephrase.ai,Even,Swadesh,ClearFeed",,,,,Super Active,,,,,,,,,
13i Capital,,,Private Equity,,,,,,,Ram Thukkaram,"Garsite, American Metal Tech,Stalcop,TexelQ,PFT",,,,,,,,checked,,,,,,
20VC,,,Venture Capital,"Seed,""Early (A,B)""",,,,,,Paul Bonnet,Random Walk,,,,,,,,,,,,Active,,
